id_blob,id_person,id_website,id_question,spray_number,lat,lng,time_blob,zoom
34597574,124536,1448,23278,1,44.07579803466797,-123.049072265625,1776809253163,13
34597575,124536,1448,23278,1,44.075077056884766,-123.0493392944336,1776809253146,13
34597576,124536,1448,23278,1,44.0767707824707,-123.04901885986328,1776809253205,13
34602496,124538,1448,23278,1,44.036258697509766,-123.08902740478516,1776809284410,15
34597578,124536,1448,23278,1,44.076908111572266,-123.04820251464844,1776809253237,13
34597579,124538,1448,23278,1,44.03688430786133,-123.0840072631836,1776809270283,15
34597580,124541,1448,23278,1,44.05149459838867,-123.10526275634766,1776809267642,15
34599384,124551,1448,23279,1,44.0247802734375,-123.1274185180664,1776809276134,10
34599383,124551,1448,23279,1,44.015769958496094,-123.13492584228516,1776809276119,10
34602495,124550,1448,23278,1,44.064971923828125,-123.05361938476562,1776809276719,12
34597584,124537,1448,23278,1,44.044166564941406,-123.08050537109375,1776809259718,14
34599382,124551,1448,23279,1,44.017337799072266,-123.12862396240234,1776809276107,10
34599381,124551,1448,23279,1,44.0135383605957,-123.13533782958984,1776809276092,10
34602494,124536,1448,23278,1,44.07738494873047,-123.08001708984375,1776809267180,13
34597588,124541,1448,23278,1,44.05061721801758,-123.10555267333984,1776809267675,15
34597589,124541,1448,23278,1,44.051025390625,-123.10548400878906,1776809267658,15
34602493,124536,1448,23278,1,44.07729721069336,-123.08035278320312,1776809267148,13
34599379,124551,1448,23279,1,44.01803970336914,-123.12620544433594,1776809276077,10
34597592,124538,1448,23278,1,44.03684616088867,-123.08363342285156,1776809270302,15
34606573,124536,1448,23278,1,44.092960357666016,-123.06819152832031,1776809278292,13
34597594,124548,1448,23278,1,44.07297134399414,-123.08013153076172,1776809269640,13
34597595,124548,1448,23278,1,44.07253646850586,-123.08077239990234,1776809269652,13
34597596,124550,1448,23278,1,44.050106048583984,-123.05176544189453,1776809270011,12
34597597,124541,1448,23278,1,44.05025100708008,-123.10519409179688,1776809267691,15
34597598,124547,1448,23278,1,44.0516242980957,-123.09054565429688,1776809270528,15
34597599,124547,1448,23278,1,44.05140686035156,-123.09053802490234,1776809270541,15
34602491,124550,1448,23278,1,44.06657409667969,-123.05177307128906,1776809276700,12
34597601,124550,1448,23278,1,44.0499267578125,-123.05143737792969,1776809270023,12
34597602,124548,1448,23278,1,44.073333740234375,-123.08087158203125,1776809269664,13
34597603,124548,1448,23278,1,44.07283020019531,-123.08145904541016,1776809269676,13
34597604,124541,1448,23278,1,44.049827575683594,-123.104736328125,1776809267709,15
34597605,124541,1448,23278,1,44.049625396728516,-123.10444641113281,1776809267725,15
34597606,124550,1448,23278,1,44.052146911621094,-123.05106353759766,1776809270035,12
34597607,124547,1448,23278,1,44.05162048339844,-123.09054565429688,1776809270553,15
34597608,124538,1448,23278,1,44.03696823120117,-123.08329010009766,1776809270331,15
